Method,Dimension,Lambda,ARL,h,ARL_observed
ssDMEWMC,6,0.8,200,22.7117888049,197.6
ssDMEWMC,6,0.8,500,23.5271662373,518.8
ssDMEWMC,6,0.8,1000,26.6032297159,1134.9
ssDMEWMC,6,0.8,2000,26.8398565318,2154.3
ssDMEWMC,6,0.9,100,32.925072124,114.0
ssDMEWMC,6,0.9,200,33.4062578185,165.0
ssDMEWMC,6,0.9,500,35.651332004,487.8
ssDMEWMC,6,0.9,1000,38.8338066317,1134.9
ssDMEWMC,6,0.9,2000,40.316335951,1480.6
ssDMEWMC,6,0.9500000000000001,100,43.9344835886,94.7
ssDMEWMC,6,0.9500000000000001,200,44.7720321016,227.2
ssDMEWMC,6,0.9500000000000001,500,46.939191138,512.9
ssDMEWMC,6,0.9500000000000001,1000,50.617339679,1062.5
ssDMEWMC,6,0.9500000000000001,2000,51.7215813671,1480.6
ssDMEWMC,7,0.05,100,0.3643995799,94.9
ssDMEWMC,7,0.05,200,0.4585557038,223.0
ssDMEWMC,7,0.05,500,0.5409197989,532.1
ssDMEWMC,7,0.05,1000,0.5646268285,1042.2
ssDMEWMC,7,0.05,2000,0.6216938246,1996.6
ssDMEWMC,7,0.1,100,0.9047314468000001,98.1
ssDMEWMC,7,0.1,200,1.0350189504,184.0
ssDMEWMC,7,0.1,500,1.2569329185,665.3
ssDMEWMC,7,0.1,1000,1.3075867675000001,1007.3
ssDMEWMC,7,0.1,2000,1.4245902109,1992.3
ssDMEWMC,7,0.2,100,2.3552650554,100.7
ssDMEWMC,7,0.2,200,2.522938333,251.7
ssDMEWMC,7,0.2,500,2.8699011435,463.3
ssDMEWMC,7,0.2,1000,3.1247687402,999.4
ssDMEWMC,7,0.2,2000,3.267298125,1998.6
ssDMEWMC,7,0.30000000000000004,100,4.2371618696,91.9
ssDMEWMC,7,0.30000000000000004,200,4.5626963108,270.8
ssDMEWMC,7,0.30000000000000004,500,5.0822827502,501.4
ssDMEWMC,7,0.30000000000000004,1000,5.3908892321,1035.4
ssDMEWMC,7,0.30000000000000004,2000,5.6666904312,2284.8
ssDMEWMC,7,0.4,100,6.747054169,91.5
ssDMEWMC,7,0.4,200,7.2010642233,194.0
ssDMEWMC,7,0.4,500,7.4167365232,509.2
ssDMEWMC,7,0.4,1000,8.102546193,998.2
ssDMEWMC,7,0.4,2000,8.5496161533,1728.0
ssDMEWMC,7,0.5,100,10.2284113964,126.5
ssDMEWMC,7,0.5,200,10.4601392233,165.5
ssDMEWMC,7,0.5,500,11.0802127007,437.5
ssDMEWMC,7,0.5,1000,11.474625816,665.8
ssDMEWMC,7,0.5,2000,12.002207721,1919.5
ssDMEWMC,7,0.6000000000000001,100,14.3400039643,107.0
ssDMEWMC,7,0.6000000000000001,200,14.8650955507,200.8
ssDMEWMC,7,0.6000000000000001,500,15.591000804,519.6
ssDMEWMC,7,0.6000000000000001,1000,16.5250803107,934.8
ssDMEWMC,7,0.6000000000000001,2000,16.9614387491,2259.3
ssDMEWMC,7,0.7000000000000001,100,20.1690673293,88.6
ssDMEWMC,7,0.7000000000000001,200,20.9149997953,199.9
ssDMEWMC,7,0.7000000000000001,500,22.2282458481,481.7
ssDMEWMC,7,0.7000000000000001,1000,23.6077234278,980.7
ssDMEWMC,7,0.7000000000000001,2000,23.8961502928,3327.6
ssDMEWMC,7,0.8,100,29.1764053111,87.8
ssDMEWMC,7,0.8,200,30.049532421,202.1
ssDMEWMC,7,0.8,500,31.7431367882,520.6
ssDMEWMC,7,0.8,1000,33.1662122133,1038.5
ssDMEWMC,7,0.8,2000,33.6342879603,1924.8
ssDMEWMC,7,0.9,100,45.1734904647,95.7
ssDMEWMC,7,0.9,200,46.0277357054,189.8
ssDMEWMC,7,0.9,500,47.7564666616,529.9
ssDMEWMC,7,0.9,1000,49.4853136275,1076.5
ssDMEWMC,7,0.9,2000,50.5128153773,2021.1
ssDMEWMC,7,0.9500000000000001,100,60.2867748434,108.0
ssDMEWMC,7,0.9500000000000001,200,61.3052253261,164.0
ssDMEWMC,7,0.9500000000000001,500,63.31759974,488.6
ssDMEWMC,7,0.9500000000000001,1000,65.8969011879,963.6
ssDMEWMC,7,0.9500000000000001,2000,66.6829591888,2037.3
ssDMEWMC,8,0.05,100,0.5530833719,94.8
ssDMEWMC,8,0.05,200,0.6268828219,191.6
ssDMEWMC,8,0.05,500,0.6711610250000001,536.8
ssDMEWMC,8,0.05,1000,0.694098827,1020.9
ssDMEWMC,8,0.05,2000,0.7833413689000001,1892.1
ssDMEWMC,8,0.1,100,1.3648896695000001,99.6
ssDMEWMC,8,0.1,200,1.4956359128,247.4
ssDMEWMC,8,0.1,500,1.5601767348000002,456.3
ssDMEWMC,8,0.1,1000,1.6087430359,1116.0
ssDMEWMC,8,0.1,2000,1.6980660418,2015.4
