,Method,Dimension,Lambda,ARL,h,
396,MEWMA,9,0.2,200,22.518,1.077158575
397,MEWMA,9,0.2,500,25.208,1.071996598
398,MEWMA,9,0.2,1000,27.154,1.068382121
399,MEWMA,9,0.2,2000,29.04,1.065609863
400,MEWMA,9,0.3,100,20.25756586,
401,MEWMA,9,0.3,200,22.68546804,
402,MEWMA,9,0.3,500,25.88812235,
403,MEWMA,9,0.3,1000,28.20330975,
404,MEWMA,9,0.3,2000,30.44594511,
405,MEWMA,9,0.4,100,20.53876472,
406,MEWMA,9,0.4,200,23.00036904,
407,MEWMA,9,0.4,500,26.24747996,
408,MEWMA,9,0.4,1000,28.59480489,
409,MEWMA,9,0.4,2000,30.86857067,
410,MEWMA,9,0.5,100,20.68498813,
411,MEWMA,9,0.5,200,23.16411756,
412,MEWMA,9,0.5,500,26.43434592,
413,MEWMA,9,0.5,1000,28.79838236,
414,MEWMA,9,0.5,2000,31.08833596,
415,MEWMA,9,0.6,100,20.77497177,
416,MEWMA,9,0.6,200,23.26488588,
417,MEWMA,9,0.6,500,26.54934036,
418,MEWMA,9,0.6,1000,28.92366081,
419,MEWMA,9,0.6,2000,31.22357614,
420,MEWMA,9,0.7,100,20.80871563,
421,MEWMA,9,0.7,200,23.302674,
422,MEWMA,9,0.7,500,26.59246327,
423,MEWMA,9,0.7,1000,28.97064022,
424,MEWMA,9,0.7,2000,31.27429121,
425,MEWMA,9,0.8,100,20.85370745,
426,MEWMA,9,0.8,200,23.35305816,
427,MEWMA,9,0.8,500,26.64996049,
428,MEWMA,9,0.8,1000,29.03327945,
429,MEWMA,9,0.8,2000,31.34191129,
430,MEWMA,9,0.9,100,20.87620336,
431,MEWMA,9,0.9,200,23.37825024,
432,MEWMA,9,0.9,500,26.6787091,
433,MEWMA,9,0.9,1000,29.06459906,
434,MEWMA,9,0.9,2000,31.37572134,
435,MEWMA,9,0.95,100,20.89869926,
436,MEWMA,9,0.95,200,23.40344232,
437,MEWMA,9,0.95,500,26.70745771,
438,MEWMA,9,0.95,1000,29.09591867,
439,MEWMA,9,0.95,2000,31.40953138,
440,MEWMA,10,0.05,100,19.032,
441,MEWMA,10,0.05,200,20.72,
442,MEWMA,10,0.05,500,24.363,
443,MEWMA,10,0.05,1000,26.565,
444,MEWMA,10,0.05,2000,28.696,
445,MEWMA,10,0.1,100,20.621,
446,MEWMA,10,0.1,200,22.67,
447,MEWMA,10,0.1,500,25.831,
448,MEWMA,10,0.1,1000,27.945,
449,MEWMA,10,0.1,2000,29.973,
450,MEWMA,10,0.2,100,21.966,
451,MEWMA,10,0.2,200,24.07,
452,MEWMA,10,0.2,500,26.924,
453,MEWMA,10,0.2,1000,28.915,
