,Method,Dimension,Lambda,ARL,h,
1723,ssMEWMA,7,0.3,1000,24.40577168,
1724,ssMEWMA,7,0.3,2000,26.34643918,
1725,ssMEWMA,7,0.4,100,17.77324742,
1726,ssMEWMA,7,0.4,200,19.9034,
1727,ssMEWMA,7,0.4,500,22.71329176,
1728,ssMEWMA,7,0.4,1000,24.74455252,
1729,ssMEWMA,7,0.4,2000,26.71215877,
1730,ssMEWMA,7,0.5,100,17.89978204,
1731,ssMEWMA,7,0.5,200,20.0451,
1732,ssMEWMA,7,0.5,500,22.87499647,
1733,ssMEWMA,7,0.5,1000,24.92071856,
1734,ssMEWMA,7,0.5,2000,26.90233295,
1735,ssMEWMA,7,0.6,100,17.9776495,
1736,ssMEWMA,7,0.6,200,20.1323,
1737,ssMEWMA,7,0.6,500,22.97450706,
1738,ssMEWMA,7,0.6,1000,25.02912842,
1739,ssMEWMA,7,0.6,2000,27.01936322,
1740,ssMEWMA,7,0.7,100,18.0068498,
1741,ssMEWMA,7,0.7,200,20.165,
1742,ssMEWMA,7,0.7,500,23.01182353,
1743,ssMEWMA,7,0.7,1000,25.06978212,
1744,ssMEWMA,7,0.7,2000,27.06324957,
1745,ssMEWMA,7,0.8,100,18.04578353,
1746,ssMEWMA,7,0.8,200,20.2086,
1747,ssMEWMA,7,0.8,500,23.06157882,
1748,ssMEWMA,7,0.8,1000,25.12398706,
1749,ssMEWMA,7,0.8,2000,27.12176471,
1750,ssMEWMA,7,0.9,100,18.06525039,
1751,ssMEWMA,7,0.9,200,20.2304,
1752,ssMEWMA,7,0.9,500,23.08645647,
1753,ssMEWMA,7,0.9,1000,25.15108953,
1754,ssMEWMA,7,0.9,2000,27.15102227,
1755,ssMEWMA,7,0.95,100,18.08471726,
1756,ssMEWMA,7,0.95,200,20.2522,
1757,ssMEWMA,7,0.95,500,23.11133412,
1758,ssMEWMA,7,0.95,1000,25.17819199,
1759,ssMEWMA,7,0.95,2000,27.18027984,
1760,ssMEWMA,8,0.05,100,16.103,
1761,ssMEWMA,8,0.05,200,18.257,
1762,ssMEWMA,8,0.05,500,21.075,
1763,ssMEWMA,8,0.05,1000,23.163,
1764,ssMEWMA,8,0.05,2000,25.186,
1765,ssMEWMA,8,0.1,100,17.581,
1766,ssMEWMA,8,0.1,200,19.74,
1767,ssMEWMA,8,0.1,500,21.075,
1768,ssMEWMA,8,0.1,1000,23.163,
1769,ssMEWMA,8,0.1,2000,25.186,
1770,ssMEWMA,8,0.2,100,18.852,
1771,ssMEWMA,8,0.2,200,20.905,
1772,ssMEWMA,8,0.2,500,23.515,
1773,ssMEWMA,8,0.2,1000,25.416,
1774,ssMEWMA,8,0.2,2000,27.252,
1775,ssMEWMA,8,0.3,100,18.75700543,
1776,ssMEWMA,8,0.3,200,21.005063,
1777,ssMEWMA,8,0.3,500,23.97048366,
1778,ssMEWMA,8,0.3,1000,26.1141757,
1779,ssMEWMA,8,0.3,2000,28.19068992,
1780,ssMEWMA,8,0.4,100,19.01737474,
1781,ssMEWMA,8,0.4,200,21.296638,
1782,ssMEWMA,8,0.4,500,24.30322219,
1783,ssMEWMA,8,0.4,1000,26.47667119,
1784,ssMEWMA,8,0.4,2000,28.58200988,
1785,ssMEWMA,8,0.5,100,19.15276679,
1786,ssMEWMA,8,0.5,200,21.448257,
1787,ssMEWMA,8,0.5,500,24.47624622,
1788,ssMEWMA,8,0.5,1000,26.66516885,
1789,ssMEWMA,8,0.5,2000,28.78549626,
1790,ssMEWMA,8,0.6,100,19.23608497,
1791,ssMEWMA,8,0.6,200,21.541561,
1792,ssMEWMA,8,0.6,500,24.58272255,
1793,ssMEWMA,8,0.6,1000,26.78116741,
1794,ssMEWMA,8,0.6,2000,28.91071865,
1795,ssMEWMA,8,0.7,100,19.26732929,
1796,ssMEWMA,8,0.7,200,21.57655,
1797,ssMEWMA,8,0.7,500,24.62265118,
1798,ssMEWMA,8,0.7,1000,26.82466687,
1799,ssMEWMA,8,0.7,2000,28.95767704,
1800,ssMEWMA,8,0.8,100,19.30898838,
1801,ssMEWMA,8,0.8,200,21.623202,
1802,ssMEWMA,8,0.8,500,24.67588934,
1803,ssMEWMA,8,0.8,1000,26.88266615,
1804,ssMEWMA,8,0.8,2000,29.02028824,
1805,ssMEWMA,8,0.9,100,19.32981792,
1806,ssMEWMA,8,0.9,200,21.646528,
1807,ssMEWMA,8,0.9,500,24.70250842,
1808,ssMEWMA,8,0.9,1000,26.91166579,
1809,ssMEWMA,8,0.9,2000,29.05159383,
1810,ssMEWMA,8,0.95,100,19.35064747,
1811,ssMEWMA,8,0.95,200,21.669854,
1812,ssMEWMA,8,0.95,500,24.72912751,
1813,ssMEWMA,8,0.95,1000,26.94066543,
1814,ssMEWMA,8,0.95,2000,29.08289943,
1815,ssMEWMA,9,0.05,100,17.573,
1816,ssMEWMA,9,0.05,200,19.792,
1817,ssMEWMA,9,0.05,500,22.712,
1818,ssMEWMA,9,0.05,1000,24.849,
1819,ssMEWMA,9,0.05,2000,26.927,
1820,ssMEWMA,9,0.1,100,19.095,
1821,ssMEWMA,9,0.1,200,21.317,
1822,ssMEWMA,9,0.1,500,24.142,
1823,ssMEWMA,9,0.1,1000,26.196,
1824,ssMEWMA,9,0.1,2000,28.172,
1825,ssMEWMA,9,0.2,100,20.394,
1826,ssMEWMA,9,0.2,200,22.518,
1827,ssMEWMA,9,0.2,500,25.208,
1828,ssMEWMA,9,0.2,1000,27.154,
1829,ssMEWMA,9,0.2,2000,29.04,
1830,ssMEWMA,9,0.3,100,20.25756586,
1831,ssMEWMA,9,0.3,200,22.68546804,
1832,ssMEWMA,9,0.3,500,25.88812235,
1833,ssMEWMA,9,0.3,1000,28.20330975,
1834,ssMEWMA,9,0.3,2000,30.44594511,
1835,ssMEWMA,9,0.4,100,20.53876472,
1836,ssMEWMA,9,0.4,200,23.00036904,
1837,ssMEWMA,9,0.4,500,26.24747996,
1838,ssMEWMA,9,0.4,1000,28.59480489,
1839,ssMEWMA,9,0.4,2000,30.86857067,
1840,ssMEWMA,9,0.5,100,20.68498813,
1841,ssMEWMA,9,0.5,200,23.16411756,
1842,ssMEWMA,9,0.5,500,26.43434592,
1843,ssMEWMA,9,0.5,1000,28.79838236,
1844,ssMEWMA,9,0.5,2000,31.08833596,
1845,ssMEWMA,9,0.6,100,20.77497177,
1846,ssMEWMA,9,0.6,200,23.26488588,
1847,ssMEWMA,9,0.6,500,26.54934036,
1848,ssMEWMA,9,0.6,1000,28.92366081,
1849,ssMEWMA,9,0.6,2000,31.22357614,
1850,ssMEWMA,9,0.7,100,20.80871563,
1851,ssMEWMA,9,0.7,200,23.302674,
1852,ssMEWMA,9,0.7,500,26.59246327,
1853,ssMEWMA,9,0.7,1000,28.97064022,
1854,ssMEWMA,9,0.7,2000,31.27429121,
1855,ssMEWMA,9,0.8,100,20.85370745,
1856,ssMEWMA,9,0.8,200,23.35305816,
1857,ssMEWMA,9,0.8,500,26.64996049,
1858,ssMEWMA,9,0.8,1000,29.03327945,
1859,ssMEWMA,9,0.8,2000,31.34191129,
1860,ssMEWMA,9,0.9,100,20.87620336,
1861,ssMEWMA,9,0.9,200,23.37825024,
1862,ssMEWMA,9,0.9,500,26.6787091,
1863,ssMEWMA,9,0.9,1000,29.06459906,
1864,ssMEWMA,9,0.9,2000,31.37572134,
1865,ssMEWMA,9,0.95,100,20.89869926,
1866,ssMEWMA,9,0.95,200,23.40344232,
1867,ssMEWMA,9,0.95,500,26.70745771,
1868,ssMEWMA,9,0.95,1000,29.09591867,
1869,ssMEWMA,9,0.95,2000,31.40953138,
1870,ssMEWMA,10,0.05,100,19.032,
1871,ssMEWMA,10,0.05,200,20.72,
1872,ssMEWMA,10,0.05,500,24.363,
1873,ssMEWMA,10,0.05,1000,26.565,
1874,ssMEWMA,10,0.05,2000,28.696,
1875,ssMEWMA,10,0.1,100,20.621,
1876,ssMEWMA,10,0.1,200,22.67,
1877,ssMEWMA,10,0.1,500,25.831,
1878,ssMEWMA,10,0.1,1000,27.945,
1879,ssMEWMA,10,0.1,2000,29.973,
1880,ssMEWMA,10,0.2,100,21.966,
1881,ssMEWMA,10,0.2,200,24.07,
1882,ssMEWMA,10,0.2,500,26.924,
1883,ssMEWMA,10,0.2,1000,28.915,
1884,ssMEWMA,10,0.2,2000,30.87,
1885,ssMEWMA,10,0.3,100,22.46792356,
1886,ssMEWMA,10,0.3,200,24.62,
1887,ssMEWMA,10,0.3,500,27.53921396,
1888,ssMEWMA,10,0.3,1000,29.57570835,
1889,ssMEWMA,10,0.3,2000,31.57538014,
1890,ssMEWMA,10,0.4,100,22.71432239,
1891,ssMEWMA,10,0.4,200,24.89,
1892,ssMEWMA,10,0.4,500,27.84122808,
1893,ssMEWMA,10,0.4,1000,29.90005609,
1894,ssMEWMA,10,0.4,2000,31.92165767,
1895,ssMEWMA,10,0.5,100,22.84208475,
1896,ssMEWMA,10,0.5,200,25.03,
1897,ssMEWMA,10,0.5,500,27.997828,
1898,ssMEWMA,10,0.5,1000,30.06823639,
1899,ssMEWMA,10,0.5,2000,32.10120897,
1900,ssMEWMA,10,0.6,100,22.91509182,
1901,ssMEWMA,10,0.6,200,25.11,
1902,ssMEWMA,10,0.6,500,28.08731367,
1903,ssMEWMA,10,0.6,1000,30.16433943,
1904,ssMEWMA,10,0.6,2000,32.20380972,
1905,ssMEWMA,10,0.7,100,22.94246946,
1906,ssMEWMA,10,0.7,200,25.14,
1907,ssMEWMA,10,0.7,500,28.12087079,
1908,ssMEWMA,10,0.7,1000,30.20037806,
1909,ssMEWMA,10,0.7,2000,32.242285,
1910,ssMEWMA,10,0.8,100,22.96984711,
1911,ssMEWMA,10,0.8,200,25.17,
1912,ssMEWMA,10,0.8,500,28.15442792,
1913,ssMEWMA,10,0.8,1000,30.2364167,
1914,ssMEWMA,10,0.8,2000,32.28076028,
1915,ssMEWMA,10,0.9,100,22.98809888,
1916,ssMEWMA,10,0.9,200,25.19,
1917,ssMEWMA,10,0.9,500,28.17679934,
1918,ssMEWMA,10,0.9,1000,30.26044246,
1919,ssMEWMA,10,0.9,2000,32.30641047,
1920,ssMEWMA,10,0.95,100,22.99722476,
1921,ssMEWMA,10,0.95,200,25.2,
1922,ssMEWMA,10,0.95,500,28.18798504,
1923,ssMEWMA,10,0.95,1000,30.27245534,
1924,ssMEWMA,10,0.95,2000,32.31923556,
1925,ssMEWMA,15,0.05,100,25.844,
1926,ssMEWMA,15,0.05,200,27.82,
1927,ssMEWMA,15,0.05,500,31.887,
1928,ssMEWMA,15,0.05,1000,34.351,
1929,ssMEWMA,15,0.05,2000,36.72,
1930,ssMEWMA,15,0.1,100,27.653,
1931,ssMEWMA,15,0.1,200,30.03,
1932,ssMEWMA,15,0.1,500,33.518,
1933,ssMEWMA,15,0.1,1000,35.86,
1934,ssMEWMA,15,0.1,2000,38.109,
1935,ssMEWMA,15,0.2,100,29.161,
1936,ssMEWMA,15,0.2,200,31.59,
1937,ssMEWMA,15,0.2,500,34.693,
1938,ssMEWMA,15,0.2,1000,36.911,
1939,ssMEWMA,15,0.2,2000,39.047,
1940,ssMEWMA,15,0.3,100,29.20830062,
1941,ssMEWMA,15,0.3,200,32.19,
1942,ssMEWMA,15,0.3,500,35.80097815,
1943,ssMEWMA,15,0.3,1000,38.44842086,
1944,ssMEWMA,15,0.3,2000,41.04799418,
1945,ssMEWMA,15,0.4,100,29.52861911,
1946,ssMEWMA,15,0.4,200,32.48,
1947,ssMEWMA,15,0.4,500,36.19359651,
1948,ssMEWMA,15,0.4,1000,38.87007291,
1949,ssMEWMA,15,0.4,2000,41.49815496,
1950,ssMEWMA,15,0.5,100,29.69471018,
1951,ssMEWMA,15,0.5,200,32.63,
1952,ssMEWMA,15,0.5,500,36.3971764,
1953,ssMEWMA,15,0.5,1000,39.08870731,
1954,ssMEWMA,15,0.5,2000,41.73157167,
1955,ssMEWMA,15,0.6,100,29.78961936,
1956,ssMEWMA,15,0.6,200,32.71,
1957,ssMEWMA,15,0.6,500,36.51350777,
1958,ssMEWMA,15,0.6,1000,39.21364125,
1959,ssMEWMA,15,0.6,2000,41.86495264,
1960,ssMEWMA,15,0.7,100,29.8252103,
1961,ssMEWMA,15,0.7,200,32.75,
1962,ssMEWMA,15,0.7,500,36.55713203,
1963,ssMEWMA,15,0.7,1000,39.26049148,
1964,ssMEWMA,15,0.7,2000,41.9149705,
1965,ssMEWMA,15,0.8,100,29.86080125,
1966,ssMEWMA,15,0.8,200,32.79,
1967,ssMEWMA,15,0.8,500,36.60075629,
1968,ssMEWMA,15,0.8,1000,39.30734171,
1969,ssMEWMA,15,0.8,2000,41.96498837,
1970,ssMEWMA,15,0.9,100,29.88452854,
1971,ssMEWMA,15,0.9,200,32.83,
1972,ssMEWMA,15,0.9,500,36.62983914,
1973,ssMEWMA,15,0.9,1000,39.3385752,
1974,ssMEWMA,15,0.9,2000,41.99833361,
1975,ssMEWMA,15,0.95,100,29.89639219,
1976,ssMEWMA,15,0.95,200,32.85,
1977,ssMEWMA,15,0.95,500,36.64438056,
1978,ssMEWMA,15,0.95,1000,39.35419194,
1979,ssMEWMA,15,0.95,2000,42.01500623,
1980,ssMEWMA,20,0.05,100,32.39,
1981,ssMEWMA,20,0.05,200,35.293,
1982,ssMEWMA,20,0.05,500,39.031,
1983,ssMEWMA,20,0.05,1000,41.724,
1984,ssMEWMA,20,0.05,2000,44.297,
1985,ssMEWMA,20,0.1,100,34.378,
1986,ssMEWMA,20,0.1,200,37.235,
1987,ssMEWMA,20,0.1,500,40.806,
1988,ssMEWMA,20,0.1,1000,43.36,
1989,ssMEWMA,20,0.1,2000,45.778,
1990,ssMEWMA,20,0.2,100,36.017,
1991,ssMEWMA,20,0.2,200,38.727,
1992,ssMEWMA,20,0.2,500,42.086,
1993,ssMEWMA,20,0.2,1000,44.483,
1994,ssMEWMA,20,0.2,2000,46.785,
1995,ssMEWMA,20,0.3,100,35.63412676,
1996,ssMEWMA,20,0.3,200,39.2718,
1997,ssMEWMA,20,0.3,500,43.67719334,
1998,ssMEWMA,20,0.3,1000,46.90707344,
1999,ssMEWMA,20,0.3,2000,50.0785529,
2000,ssMEWMA,20,0.4,100,36.02491532,
2001,ssMEWMA,20,0.4,200,39.6256,
2002,ssMEWMA,20,0.4,500,44.15618774,
2003,ssMEWMA,20,0.4,1000,47.42148895,
2004,ssMEWMA,20,0.4,2000,50.62774906,
2005,ssMEWMA,20,0.5,100,36.22754642,
2006,ssMEWMA,20,0.5,200,39.8086,
2007,ssMEWMA,20,0.5,500,44.40455521,
2008,ssMEWMA,20,0.5,1000,47.68822292,
2009,ssMEWMA,20,0.5,2000,50.91251743,
2010,ssMEWMA,20,0.6,100,36.34333562,
2011,ssMEWMA,20,0.6,200,39.9062,
2012,ssMEWMA,20,0.6,500,44.54647948,
2013,ssMEWMA,20,0.6,1000,47.84064233,
2014,ssMEWMA,20,0.6,2000,51.07524222,
2015,ssMEWMA,20,0.7,100,36.38675657,
2016,ssMEWMA,20,0.7,200,39.955,
2017,ssMEWMA,20,0.7,500,44.59970108,
2018,ssMEWMA,20,0.7,1000,47.89779961,
2019,ssMEWMA,20,0.7,2000,51.13626401,
2020,ssMEWMA,20,0.8,100,36.43017752,
2021,ssMEWMA,20,0.8,200,40.0038,
2022,ssMEWMA,20,0.8,500,44.65292268,
2023,ssMEWMA,20,0.8,1000,47.95495689,
2024,ssMEWMA,20,0.8,2000,51.19728581,
2025,ssMEWMA,20,0.9,100,36.45912482,
2026,ssMEWMA,20,0.9,200,40.0526,
2027,ssMEWMA,20,0.9,500,44.68840375,
2028,ssMEWMA,20,0.9,1000,47.99306174,
2029,ssMEWMA,20,0.9,2000,51.237967,
2030,ssMEWMA,20,0.95,100,36.47359847,
2031,ssMEWMA,20,0.95,200,40.077,
2032,ssMEWMA,20,0.95,500,44.70614428,
2033,ssMEWMA,20,0.95,1000,48.01211417,
2034,ssMEWMA,20,0.95,2000,51.2583076,
2035,ssMEWMA,25,0.05,100,39.5158,
2036,ssMEWMA,25,0.05,200,43.05746,
2037,ssMEWMA,25,0.05,500,47.61782,
2038,ssMEWMA,25,0.05,1000,50.90328,
2039,ssMEWMA,25,0.05,2000,54.04234,
2040,ssMEWMA,25,0.1,100,41.94116,
2041,ssMEWMA,25,0.1,200,45.4267,
2042,ssMEWMA,25,0.1,500,49.78332,
2043,ssMEWMA,25,0.1,1000,52.8992,
2044,ssMEWMA,25,0.1,2000,55.84916,
2045,ssMEWMA,25,0.2,100,43.94074,
2046,ssMEWMA,25,0.2,200,47.24694,
2047,ssMEWMA,25,0.2,500,51.34492,
2048,ssMEWMA,25,0.2,1000,54.26926,
2049,ssMEWMA,25,0.2,2000,57.0777,
2050,ssMEWMA,25,0.3,100,43.47363465,
2051,ssMEWMA,25,0.3,200,47.911596,
2052,ssMEWMA,25,0.3,500,53.28617587,
2053,ssMEWMA,25,0.3,1000,57.2266296,
2054,ssMEWMA,25,0.3,2000,61.09583454,
2055,ssMEWMA,25,0.4,100,43.95039668,
2056,ssMEWMA,25,0.4,200,48.343232,
2057,ssMEWMA,25,0.4,500,53.87054905,
2058,ssMEWMA,25,0.4,1000,57.85421652,
2059,ssMEWMA,25,0.4,2000,61.76585385,
2060,ssMEWMA,25,0.5,100,44.19760663,
2061,ssMEWMA,25,0.5,200,48.566492,
2062,ssMEWMA,25,0.5,500,54.17355736,
2063,ssMEWMA,25,0.5,1000,58.17963196,
2064,ssMEWMA,25,0.5,2000,62.11327127,
2065,ssMEWMA,25,0.6,100,44.33886946,
2066,ssMEWMA,25,0.6,200,48.685564,
2067,ssMEWMA,25,0.6,500,54.34670496,
2068,ssMEWMA,25,0.6,1000,58.36558364,
2069,ssMEWMA,25,0.6,2000,62.31179551,
2070,ssMEWMA,25,0.7,100,44.39184302,
2071,ssMEWMA,25,0.7,200,48.7451,
2072,ssMEWMA,25,0.7,500,54.41163532,
2073,ssMEWMA,25,0.7,1000,58.43531552,
2074,ssMEWMA,25,0.7,2000,62.3862421,
2075,ssMEWMA,25,0.8,100,44.44481658,
2076,ssMEWMA,25,0.8,200,48.804636,
2077,ssMEWMA,25,0.8,500,54.47656567,
2078,ssMEWMA,25,0.8,1000,58.5050474,
2079,ssMEWMA,25,0.8,2000,62.46068869,
2080,ssMEWMA,25,0.9,100,44.48013228,
2081,ssMEWMA,25,0.9,200,48.864172,
2082,ssMEWMA,25,0.9,500,54.51985257,
2083,ssMEWMA,25,0.9,1000,58.55153532,
2084,ssMEWMA,25,0.9,2000,62.51031975,
2085,ssMEWMA,25,0.95,100,44.49779013,
2086,ssMEWMA,25,0.95,200,48.89394,
2087,ssMEWMA,25,0.95,500,54.54149602,
2088,ssMEWMA,25,0.95,1000,58.57477928,
2089,ssMEWMA,25,0.95,2000,62.53513528,
2090,ssMEWMA,50,0.05,100,48.209276,
2091,ssMEWMA,50,0.05,200,52.5301012,
2092,ssMEWMA,50,0.05,500,58.0937404,
2093,ssMEWMA,50,0.05,1000,62.1020016,
2094,ssMEWMA,50,0.05,2000,65.9316548,
2095,ssMEWMA,50,0.1,100,51.1682152,
2096,ssMEWMA,50,0.1,200,55.420574,
2097,ssMEWMA,50,0.1,500,60.7356504,
2098,ssMEWMA,50,0.1,1000,64.537024,
2099,ssMEWMA,50,0.1,2000,68.1359752,
2100,ssMEWMA,50,0.2,100,53.6077028,
2101,ssMEWMA,50,0.2,200,57.6412668,
2102,ssMEWMA,50,0.2,500,62.6408024,
2103,ssMEWMA,50,0.2,1000,66.2084972,
2104,ssMEWMA,50,0.2,2000,69.634794,
2105,ssMEWMA,50,0.3,100,53.03783427,
2106,ssMEWMA,50,0.3,200,58.45214712,
2107,ssMEWMA,50,0.3,500,65.00913457,
2108,ssMEWMA,50,0.3,1000,69.81648811,
2109,ssMEWMA,50,0.3,2000,74.53691814,
2110,ssMEWMA,50,0.4,100,53.61948396,
2111,ssMEWMA,50,0.4,200,58.97874304,
2112,ssMEWMA,50,0.4,500,65.72206984,
2113,ssMEWMA,50,0.4,1000,70.58214416,
2114,ssMEWMA,50,0.4,2000,75.3543417,
2115,ssMEWMA,50,0.5,100,53.92108009,
2116,ssMEWMA,50,0.5,200,59.25112024,
2117,ssMEWMA,50,0.5,500,66.09173998,
2118,ssMEWMA,50,0.5,1000,70.979151,
2119,ssMEWMA,50,0.5,2000,75.77819095,
2120,ssMEWMA,50,0.6,100,54.09342074,
2121,ssMEWMA,50,0.6,200,59.39638808,
2122,ssMEWMA,50,0.6,500,66.30298006,
2123,ssMEWMA,50,0.6,1000,71.20601205,
2124,ssMEWMA,50,0.6,2000,76.02039052,
2125,ssMEWMA,50,0.7,100,54.15804848,
2126,ssMEWMA,50,0.7,200,59.469022,
2127,ssMEWMA,50,0.7,500,66.38219509,
2128,ssMEWMA,50,0.7,1000,71.29108494,
2129,ssMEWMA,50,0.7,2000,76.11121536,
2130,ssMEWMA,50,0.8,100,54.22267622,
2131,ssMEWMA,50,0.8,200,59.54165592,
2132,ssMEWMA,50,0.8,500,66.46141012,
2133,ssMEWMA,50,0.8,1000,71.37615783,
2134,ssMEWMA,50,0.8,2000,76.2020402,
2135,ssMEWMA,50,0.9,100,54.26576138,
2136,ssMEWMA,50,0.9,200,59.61428984,
2137,ssMEWMA,50,0.9,500,66.51422014,
2138,ssMEWMA,50,0.9,1000,71.43287309,
2139,ssMEWMA,50,0.9,2000,76.26259009,
2140,ssMEWMA,50,0.95,100,54.28730396,
2141,ssMEWMA,50,0.95,200,59.6506068,
2142,ssMEWMA,50,0.95,500,66.54062515,
2143,ssMEWMA,50,0.95,1000,71.46123073,
2144,ssMEWMA,50,0.95,2000,76.29286504,
2145,ssDMEWMA,2,0.05,100,6.242,
2146,ssDMEWMA,2,0.05,200,7.35,
2147,ssDMEWMA,2,0.05,500,9.729,
2148,ssDMEWMA,2,0.05,1000,11.308,
2149,ssDMEWMA,2,0.05,2000,12.878,
2150,ssDMEWMA,2,0.1,100,7.262,
2151,ssDMEWMA,2,0.1,200,8.64,
2152,ssDMEWMA,2,0.1,500,10.827,
2153,ssDMEWMA,2,0.1,1000,12.371,
2154,ssDMEWMA,2,0.1,2000,13.882,
2155,ssDMEWMA,2,0.2,100,8.211,
2156,ssDMEWMA,2,0.2,200,9.65,
2157,ssDMEWMA,2,0.2,500,11.688,
2158,ssDMEWMA,2,0.2,1000,13.174,
2159,ssDMEWMA,2,0.2,2000,14.644,
2160,ssDMEWMA,2,0.3,100,8.576878756,
2161,ssDMEWMA,2,0.3,200,10.08,
2162,ssDMEWMA,2,0.3,500,12.20881244,
2163,ssDMEWMA,2,0.3,1000,13.76102798,
2164,ssDMEWMA,2,0.3,2000,15.29653057,
2165,ssDMEWMA,2,0.4,100,8.772581347,
2166,ssDMEWMA,2,0.4,200,10.31,
2167,ssDMEWMA,2,0.4,500,12.48738653,
2168,ssDMEWMA,2,0.4,1000,14.07501969,
2169,ssDMEWMA,2,0.4,2000,15.64555855,
2170,ssDMEWMA,2,0.5,100,8.883195855,
2171,ssDMEWMA,2,0.5,200,10.44,
2172,ssDMEWMA,2,0.5,500,12.64484145,
2173,ssDMEWMA,2,0.5,1000,14.25249326,
2174,ssDMEWMA,2,0.5,2000,15.84283523,
2175,ssDMEWMA,2,0.6,100,8.951266321,
2176,ssDMEWMA,2,0.6,200,10.52,
2177,ssDMEWMA,2,0.6,500,12.74173679,
2178,ssDMEWMA,2,0.6,1000,14.36170777,
2179,ssDMEWMA,2,0.6,2000,15.96423627,
2180,ssDMEWMA,2,0.7,100,8.976792746,
2181,ssDMEWMA,2,0.7,200,10.55,
2182,ssDMEWMA,2,0.7,500,12.77807254,
2183,ssDMEWMA,2,0.7,1000,14.40266321,
2184,ssDMEWMA,2,0.7,2000,16.00976166,
2185,ssDMEWMA,2,0.8,100,9.002319171,
2186,ssDMEWMA,2,0.8,200,10.58,
2187,ssDMEWMA,2,0.8,500,12.81440829,
2188,ssDMEWMA,2,0.8,1000,14.44361865,
2189,ssDMEWMA,2,0.8,2000,16.05528705,
2190,ssDMEWMA,2,0.9,100,9.019336788,
2191,ssDMEWMA,2,0.9,200,10.6,
2192,ssDMEWMA,2,0.9,500,12.83863212,
2193,ssDMEWMA,2,0.9,1000,14.47092228,
2194,ssDMEWMA,2,0.9,2000,16.08563731,
2195,ssDMEWMA,2,0.95,100,9.027845596,
2196,ssDMEWMA,2,0.95,200,10.61,
2197,ssDMEWMA,2,0.95,500,12.85074404,
2198,ssDMEWMA,2,0.95,1000,14.48457409,
2199,ssDMEWMA,2,0.95,2000,16.10081244,
2200,ssDMEWMA,3,0.05,100,8.152,
2201,ssDMEWMA,3,0.05,200,9.773,
2202,ssDMEWMA,3,0.05,500,11.997,
2203,ssDMEWMA,3,0.05,1000,13.68,
2204,ssDMEWMA,3,0.05,2000,15.353,
2205,ssDMEWMA,3,0.1,100,9.275,
2206,ssDMEWMA,3,0.1,200,10.956,
2207,ssDMEWMA,3,0.1,500,13.165,
2208,ssDMEWMA,3,0.1,1000,14.805,
2209,ssDMEWMA,3,0.1,2000,16.41,
2210,ssDMEWMA,3,0.2,100,10.924,
2211,ssDMEWMA,3,0.2,200,11.93,
2212,ssDMEWMA,3,0.2,500,14.055,
2213,ssDMEWMA,3,0.2,1000,15.632,
2214,ssDMEWMA,3,0.2,2000,17.184,
2215,ssDMEWMA,3,0.3,100,10.72109845,
2216,ssDMEWMA,3,0.3,200,12.6,
2217,ssDMEWMA,3,0.3,500,15.26101554,
2218,ssDMEWMA,3,0.3,1000,17.20128497,
2219,ssDMEWMA,3,0.3,2000,19.12066321,
2220,ssDMEWMA,3,0.4,100,10.96572668,
2221,ssDMEWMA,3,0.4,200,12.8875,
2222,ssDMEWMA,3,0.4,500,15.60923316,
2223,ssDMEWMA,3,0.4,1000,17.59377461,
2224,ssDMEWMA,3,0.4,2000,19.55694819,
2225,ssDMEWMA,3,0.5,100,11.10399482,
2226,ssDMEWMA,3,0.5,200,13.05,
2227,ssDMEWMA,3,0.5,500,15.80605181,
2228,ssDMEWMA,3,0.5,1000,17.81561658,
2229,ssDMEWMA,3,0.5,2000,19.80354404,
2230,ssDMEWMA,3,0.6,100,11.1890829,
2231,ssDMEWMA,3,0.6,200,13.15,
2232,ssDMEWMA,3,0.6,500,15.92717098,
2233,ssDMEWMA,3,0.6,1000,17.95213472,
2234,ssDMEWMA,3,0.6,2000,19.95529534,
2235,ssDMEWMA,3,0.7,100,11.22099093,
2236,ssDMEWMA,3,0.7,200,13.1875,
2237,ssDMEWMA,3,0.7,500,15.97259067,
2238,ssDMEWMA,3,0.7,1000,18.00332902,
2239,ssDMEWMA,3,0.7,2000,20.01220207,
2240,ssDMEWMA,3,0.8,100,11.25289896,
2241,ssDMEWMA,3,0.8,200,13.225,
2242,ssDMEWMA,3,0.8,500,16.01801036,
2243,ssDMEWMA,3,0.8,1000,18.05452332,
2244,ssDMEWMA,3,0.8,2000,20.06910881,
2245,ssDMEWMA,3,0.9,100,11.27417098,
2246,ssDMEWMA,3,0.9,200,13.25,
2247,ssDMEWMA,3,0.9,500,16.04829016,
2248,ssDMEWMA,3,0.9,1000,18.08865285,
2249,ssDMEWMA,3,0.9,2000,20.10704663,
2250,ssDMEWMA,3,0.95,100,11.28480699,
2251,ssDMEWMA,3,0.95,200,13.2625,
2252,ssDMEWMA,3,0.95,500,16.06343005,
2253,ssDMEWMA,3,0.95,1000,18.10571762,
2254,ssDMEWMA,3,0.95,2000,20.12601554,
2255,ssDMEWMA,4,0.05,100,9.895,
2256,ssDMEWMA,4,0.05,200,11.22,
2257,ssDMEWMA,4,0.05,500,14.024,
2258,ssDMEWMA,4,0.05,1000,15.81,
2259,ssDMEWMA,4,0.05,2000,17.563,
2260,ssDMEWMA,4,0.1,100,11.119,
