Method,Dimension,Lambda,ARL,h,ARL_observed
DMEWMA,15,0.1,500,28.930109375,500.0269
DMEWMA,15,0.1,1000,31.576796875,999.1692
DMEWMA,15,0.1,2000,34.036734375,2000.1530153015
DMEWMA,15,0.2,100,24.912953125,99.9736
DMEWMA,15,0.2,200,28.068515625,199.99
DMEWMA,15,0.2,500,31.646125,499.9275
DMEWMA,15,0.2,1000,34.11021875,1000.973
DMEWMA,15,0.2,2000,36.4483671875,1998.6498
DMEWMA,15,0.3,100,26.73564437,99.9579
DMEWMA,15,0.3,200,29.699765625,199.8498
DMEWMA,15,0.3,500,33.1876969,499.8648
DMEWMA,15,0.3,1000,35.57732711,1000.8394
DMEWMA,15,0.3,2000,37.87221293,2001.5932
DMEWMA,15,0.4,100,27.93486911,100.0357
DMEWMA,15,0.4,200,30.798359375,200.0497
DMEWMA,15,0.4,500,34.14281526,499.6218
