Method,Dimension,Lambda,ARL,h
MEWMA,8,0.8,2000,29.02028824
MEWMA,8,0.9,100,19.32981792
MEWMA,8,0.9,200,21.646528
MEWMA,8,0.9,500,24.70250842
MEWMA,8,0.9,1000,26.91166579
MEWMA,8,0.9,2000,29.05159383
MEWMA,8,0.95,100,19.35064747
MEWMA,8,0.95,200,21.669854
MEWMA,8,0.95,500,24.72912751
MEWMA,8,0.95,1000,26.94066543
MEWMA,8,0.95,2000,29.08289943
MEWMA,9,0.05,100,17.573
MEWMA,9,0.05,200,19.792
MEWMA,9,0.05,500,22.712
MEWMA,9,0.05,1000,24.849
MEWMA,9,0.05,2000,26.927
MEWMA,9,0.1,100,19.095
MEWMA,9,0.1,200,21.317
MEWMA,9,0.1,500,24.142
MEWMA,9,0.1,1000,26.196
MEWMA,9,0.1,2000,28.172
MEWMA,9,0.2,100,20.394
MEWMA,9,0.2,200,22.518
MEWMA,9,0.2,500,25.208
MEWMA,9,0.2,1000,27.154
MEWMA,9,0.2,2000,29.04
MEWMA,9,0.3,100,20.25756586
MEWMA,9,0.3,200,22.68546804
MEWMA,9,0.3,500,25.88812235
MEWMA,9,0.3,1000,28.20330975
MEWMA,9,0.3,2000,30.44594511
MEWMA,9,0.4,100,20.53876472
MEWMA,9,0.4,200,23.00036904
MEWMA,9,0.4,500,26.24747996
MEWMA,9,0.4,1000,28.59480489
MEWMA,9,0.4,2000,30.86857067
MEWMA,9,0.5,100,20.68498813
MEWMA,9,0.5,200,23.16411756
MEWMA,9,0.5,500,26.43434592
MEWMA,9,0.5,1000,28.79838236
MEWMA,9,0.5,2000,31.08833596
MEWMA,9,0.6,100,20.77497177
MEWMA,9,0.6,200,23.26488588
MEWMA,9,0.6,500,26.54934036
MEWMA,9,0.6,1000,28.92366081
MEWMA,9,0.6,2000,31.22357614
MEWMA,9,0.7,100,20.80871563
MEWMA,9,0.7,200,23.302674
MEWMA,9,0.7,500,26.59246327
MEWMA,9,0.7,1000,28.97064022
MEWMA,9,0.7,2000,31.27429121
MEWMA,9,0.8,100,20.85370745
MEWMA,9,0.8,200,23.35305816
MEWMA,9,0.8,500,26.64996049
MEWMA,9,0.8,1000,29.03327945
MEWMA,9,0.8,2000,31.34191129
MEWMA,9,0.9,100,20.87620336
MEWMA,9,0.9,200,23.37825024
MEWMA,9,0.9,500,26.6787091
MEWMA,9,0.9,1000,29.06459906
MEWMA,9,0.9,2000,31.37572134
MEWMA,9,0.95,100,20.89869926
MEWMA,9,0.95,200,23.40344232
MEWMA,9,0.95,500,26.70745771
MEWMA,9,0.95,1000,29.09591867
MEWMA,9,0.95,2000,31.40953138
MEWMA,10,0.05,100,19.032
MEWMA,10,0.05,200,20.72
MEWMA,10,0.05,500,24.363
MEWMA,10,0.05,1000,26.565
MEWMA,10,0.05,2000,28.696
MEWMA,10,0.1,100,20.621
MEWMA,10,0.1,200,22.67
MEWMA,10,0.1,500,25.831
MEWMA,10,0.1,1000,27.945
MEWMA,10,0.1,2000,29.973
MEWMA,10,0.2,100,21.966
MEWMA,10,0.2,200,24.07
MEWMA,10,0.2,500,26.924
MEWMA,10,0.2,1000,28.915
MEWMA,10,0.2,2000,30.87
MEWMA,10,0.3,100,22.46792356
MEWMA,10,0.3,200,24.62
MEWMA,10,0.3,500,27.53921396
MEWMA,10,0.3,1000,29.57570835
MEWMA,10,0.3,2000,31.57538014
MEWMA,10,0.4,100,22.71432239
MEWMA,10,0.4,200,24.89
MEWMA,10,0.4,500,27.84122808
MEWMA,10,0.4,1000,29.90005609
MEWMA,10,0.4,2000,31.92165767
MEWMA,10,0.5,100,22.84208475
MEWMA,10,0.5,200,25.03
MEWMA,10,0.5,500,27.997828
MEWMA,10,0.5,1000,30.06823639
MEWMA,10,0.5,2000,32.10120897
MEWMA,10,0.6,100,22.91509182
MEWMA,10,0.6,200,25.11
MEWMA,10,0.6,500,28.08731367
